Month,Consults booked,Attended,Cancelled,Cancellation %,Quotes sent,Quotes accepted,Quotes still open,"Acceptance % (by count, of decided)",Value quoted,Value sold,Win % by value,Open quote value,Test records excluded
2025-09,15,9,6,40,12,5,0,42,338258,151393,45,0,4
2025-10,58,22,35,61,38,20,0,53,718114,229763,32,0,1
2025-11,32,7,25,78,14,8,0,57,339220,122000,36,0,0
2025-12,24,11,13,54,18,11,0,61,289427,159601,55,0,1
2026-01,34,19,15,44,33,14,0,42,523667,125628,24,0,3
2026-02,31,18,13,42,22,14,0,64,436305,251811,58,0,1
2026-03,33,14,19,58,15,8,0,53,337601,127316,38,0,0
2026-04,30,9,21,70,14,7,0,50,298309,138120,46,0,2
2026-05,49,29,20,41,38,19,0,50,862065,333788,39,0,1
2026-06,39,18,21,54,18,8,0,44,427466,101487,24,0,1
2026-07,48,17,31,65,35,9,0,26,930481,230876,25,0,5
2026-08,44,12,32,73,18,5,6,42,432558,56970,13,143784,5
TOTAL,437,185,251,58,275,128,6,48,5933471,2028753,34,143784,24
